16989,2500000,2831405,60.002,1.0E-4,2.1510977691447408E-4,169890000,2,3,3,1,1,1
16990,3333333,2831430,60.005,3.0E-4,2.1511477339611535E-4,169900000,2,3,3,2,3,3
16991,3333333,2831455,60.008,2.0E-4,2.1511388382084633E-4,169910000,2,3,3,2,2,2
16992,3333333,2831480,60.011,2.0E-4,2.1511299435028247E-4,169920000,2,3,3,2,2,2
16993,2500000,2831458,60.015,3.0E-4,2.1511798976048963E-4,169930000,2,3,3,2,3,3
16994,3333333,2831483,60.018,1.0E-4,2.1511121572319642E-4,169940000,2,3,3,1,1,1
16995,3333333,2831508,60.021,2.0E-4,2.1511032656663725E-4,169950000,2,3,3,2,2,2
16996,2500000,2831486,60.025,2.0E-4,2.1510943751470933E-4,169960000,2,3,3,2,2,2
16997,3333333,2831511,60.028,1.0E-4,2.1510266517620757E-4,169970000,2,3,3,1,1,1
16998,3333333,2831537,60.031,2.0E-4,2.1510177667960937E-4,169980000,2,3,3,2,2,2
16999,2500000,2831514,60.035,3.0E-4,2.1510677098652862E-4,169990000,2,3,3,2,2,3
17000,3333333,2831540,60.038,3.0E-4,2.1511176470588236E-4,170000000,2,3,3,3,3,3
17001,3333333,2831565,60.041,2.0E-4,2.1511087583083347E-4,170010000,2,3,3,2,2,2
17002,3333333,2831590,60.044,3.0E-4,2.151158687213269E-4,170020000,2,3,3,3,3,3
17003,2500000,2831568,60.048,3.0E-4,2.1512086102452508E-4,170030000,2,3,3,3,3,3
17004,3333333,2831593,60.051,3.0E-4,2.1512585274053163E-4,170040000,2,3,3,3,3,3
17005,3333333,2831618,60.054,3.0E-4,2.1513084386945016E-4,170050000,2,3,3,3,3,3
17006,2500000,2831596,60.058,3.0E-4,2.151358344113842E-4,170060000,2,3,3,2,2,3
17007,3333333,2831621,60.061,3.0E-4,2.1514082436643734E-4,170070000,2,3,3,3,3,3
17008,3333333,2831646,60.064,2.0E-4,2.1513993414863593E-4,170080000,2,3,3,2,2,2
17009,2500000,2831624,60.068,1.0E-4,2.1513316479510847E-4,170090000,2,3,3,1,1,1
17010,3333333,2831649,60.071,3.0E-4,2.151381540270429E-4,170100000,2,3,3,3,3,3
17011,3333333,2831674,60.074,1.0E-4,2.1513138557404033E-4,170110000,2,3,3,1,1,1
17012,2500000,2831652,60.078,3.0E-4,2.1513637432400657E-4,170120000,2,3,3,2,2,3
17013,3333333,2831677,60.081,3.0E-4,2.1514136248750956E-4,170130000,2,3,3,3,3,3
17014,3333333,2831702,60.084,2.0E-4,2.15140472552016E-4,170140000,2,3,3,2,2,2
17015,2500000,2831680,60.088,2.0E-4,2.1513958272112842E-4,170150000,2,3,3,2,2,2
17016,3333333,2831705,60.091,1.0E-4,2.1513281617301363E-4,170160000,2,3,3,1,1,1
17017,3333333,2831730,60.094,2.0E-4,2.1513192689663277E-4,170170000,2,3,3,2,2,2
17018,2500000,2831708,60.098,3.0E-4,2.1513691385591726E-4,170180000,2,3,3,2,2,3
17019,3333333,2831733,60.101,2.0E-4,2.151360244432693E-4,170190000,2,3,3,2,2,2
17020,3333333,2831758,60.104,2.0E-4,2.1513513513513513E-4,170200000,2,3,3,2,2,2
17021,3333333,2831783,60.107,2.0E-4,2.1513424593149638E-4,170210000,2,3,3,2,2,2
17022,2500000,2831761,60.111,1.0E-4,2.151274820820115E-4,170220000,2,3,3,0,1,1
17023,3333333,2831786,60.114,1.0E-4,2.151207190271985E-4,170230000,2,3,3,1,1,1
17024,3333333,2831811,60.117,3.0E-4,2.1512570488721805E-4,170240000,2,3,3,3,3,3
17025,2500000,2831789,60.121,2.0E-4,2.1512481644640234E-4,170250000,2,3,3,2,2,2
17026,3333333,2831814,60.124,2.0E-4,2.151239281099495E-4,170260000,2,3,3,2,2,2
17027,3333333,2831839,60.127,1.0E-4,2.151171668526458E-4,170270000,2,3,3,1,1,1
17028,3333333,2831864,60.13,1.0E-4,2.1511040638947615E-4,170280000,2,3,3,1,1,1
17029,2500000,2831842,60.134,4.0E-4,2.1512126372658406E-4,170290000,2,3,3,3,3,4
17030,3333333,2831867,60.137,2.0E-4,2.151203758073987E-4,170300000,2,3,3,2,2,2
17031,3333333,2831892,60.14,2.0E-4,2.1511948799248428E-4,170310000,2,3,3,2,2,2
17032,2500000,2831870,60.144,1.0E-4,2.1511272898074214E-4,170320000,2,3,3,1,1,1
17033,3333333,2831895,60.147,1.0E-4,2.1510597076263724E-4,170330000,2,3,3,1,1,1
17034,3333333,2831920,60.15,3.0E-4,2.151109545614653E-4,170340000,2,3,3,3,3,3
17035,3333333,2831945,60.153,1.0E-4,2.1510419724097445E-4,170350000,2,3,3,1,1,1
17036,2500000,2831923,60.157,3.0E-4,2.1510918055881663E-4,170360000,2,3,3,3,3,3
17037,3333333,2831948,60.16,1.0E-4,2.1510242413570464E-4,170370000,2,3,3,1,1,1
17038,3333333,2831973,60.163,3.0E-4,2.1510740697264937E-4,170380000,2,3,3,3,3,3
17039,2500000,2831951,60.167,2.0E-4,2.1510652033570045E-4,170390000,2,3,3,1,1,1
17040,3333333,2831976,60.17,0.0,2.1509389671361503E-4,170400000,2,3,3,0,0,0
17041,3333333,2832001,60.173,3.0E-4,2.1509887917375742E-4,170410000,2,3,3,3,3,3
17042,3333333,2832026,60.176,2.0E-4,2.1509799319328717E-4,170420000,2,3,3,2,2,2
17043,2500000,2832003,60.18,2.0E-4,2.1509710731678694E-4,170430000,2,3,3,1,1,2
17044,3333333,2832028,60.183,1.0E-4,2.1509035437690684E-4,170440000,2,3,3,1,1,1
