17267,2000000,2877785,60.001,4.0E-4,2.0683963630045753E-4,172670000,2,3,3,3,3,4
17268,2000000,2877712,60.006,3.0E-4,2.0684503127171646E-4,172680000,2,3,3,3,3,3
17269,2500000,2877687,60.01,3.0E-4,2.068504256181597E-4,172690000,2,3,3,2,2,3
17270,3333333,2877709,60.013,1.0E-4,2.0684423856398378E-4,172700000,2,3,3,1,1,1
17271,3333333,2877732,60.016,1.0E-4,2.0683805222627527E-4,172710000,2,3,3,1,1,1
17272,2500000,2877707,60.02,2.0E-4,2.0683765632237148E-4,172720000,2,3,3,2,2,2
17273,3333333,2877730,60.023,2.0E-4,2.0683726046430846E-4,172730000,2,3,3,2,2,2
17274,2500000,2877705,60.027,2.0E-4,2.0683686465207827E-4,172740000,2,3,3,1,2,2
17275,3333333,2877727,60.03,2.0E-4,2.0683646888567295E-4,172750000,2,3,3,2,2,2
17276,3333333,2877750,60.033,2.0E-4,2.0683607316508452E-4,172760000,2,3,3,2,2,2
17277,3333333,2877725,60.037,2.0E-4,2.0683567749030503E-4,172770000,2,3,3,2,2,2
17278,3333333,2877748,60.04,3.0E-4,2.0684106956823706E-4,172780000,2,3,3,3,3,3
17279,2500000,2877723,60.044,1.0E-4,2.068348862781411E-4,172790000,2,3,3,1,1,1
17280,3333333,2877745,60.047,3.0E-4,2.0684027777777777E-4,172800000,2,3,3,3,3,3
17281,2500000,2877720,60.051,3.0E-4,2.068456686534344E-4,172810000,2,3,3,3,3,3
17282,2500000,2877695,60.055,3.0E-4,2.068510589052193E-4,172820000,2,3,3,3,3,3
17283,1666666,2877574,60.061,4.0E-4,2.0686223456575827E-4,172830000,2,3,3,4,4,4
17284,2000000,2877501,60.066,0.0,2.0685026614209674E-4,172840000,2,3,3,0,0,0
17285,2000000,2877428,60.071,5.0E-4,2.068672259184264E-4,172850000,2,3,3,5,5,5
17286,1666666,2877307,60.077,4.0E-4,2.0687839870415364E-4,172860000,2,3,3,3,3,4
17287,2000000,2877234,60.082,1.0E-4,2.0687221611615666E-4,172870000,2,3,3,1,1,1
17288,2000000,2877161,60.087,2.0E-4,2.0687181860249885E-4,172880000,2,3,3,2,2,2
17289,1666666,2877040,60.093,2.0E-4,2.068714211348256E-4,172890000,2,3,3,1,1,2
17290,2000000,2876967,60.098,4.0E-4,2.068825910931174E-4,172900000,2,3,3,4,4,4
17291,2000000,2876894,60.103,2.0E-4,2.068821930484067E-4,172910000,2,3,3,2,2,2
17292,1666666,2876773,60.109,4.0E-4,2.0689336109183437E-4,172920000,2,3,3,3,4,4
17293,2000000,2876700,60.114,4.0E-4,2.0690452784363615E-4,172930000,2,3,3,3,4,4
17294,2000000,2876628,60.119,2.0E-4,2.0690412859951428E-4,172940000,2,3,3,2,2,2
17295,1666666,2876507,60.125,5.0E-4,2.0692107545533392E-4,172950000,2,3,3,4,4,4
17296,2000000,2876434,60.13,1.0E-4,2.0691489361702127E-4,172960000,2,3,3,1,1,1
17297,2000000,2876361,60.135,4.0E-4,2.069260565415968E-4,172970000,2,3,3,4,4,4
17298,1666666,2876240,60.141,2.0E-4,2.069256561452191E-4,172980000,2,3,3,1,1,2
17299,1666666,2876120,60.147,4.0E-4,2.069368171570611E-4,172990000,2,3,3,3,3,3
17300,2000000,2876047,60.152,3.0E-4,2.069421965317919E-4,173000000,2,3,3,3,3,3
17301,1666666,2875926,60.158,3.0E-4,2.0694757528466563E-4,173010000,2,3,3,3,3,3
17302,2000000,2875853,60.163,5.0E-4,2.0696451277308982E-4,173020000,2,3,3,5,5,5
17303,1666666,2875733,60.169,3.0E-4,2.069698896145177E-4,173030000,2,3,3,2,3,3
17304,1666666,2875612,60.175,4.0E-4,2.069810448451225E-4,173040000,2,3,3,3,3,4
17305,2000000,2875540,60.18,3.0E-4,2.0698642010979487E-4,173050000,2,3,3,3,3,3
17306,1666666,2875419,60.186,4.0E-4,2.0699757309603606E-4,173060000,2,3,3,3,3,4
17307,2000000,2875346,60.191,3.0E-4,2.0700294678453805E-4,173070000,2,3,3,3,3,3
17308,2000000,2875274,60.196,4.0E-4,2.0701409752715507E-4,173080000,2,3,3,4,4,4
17309,1666666,2875153,60.202,3.0E-4,2.0701946964007164E-4,173090000,2,3,3,3,3,3
17310,2000000,2875080,60.207,3.0E-4,2.0702484113229347E-4,173100000,2,3,3,3,3,3
17311,2000000,2875008,60.212,4.0E-4,2.0703598867771936E-4,173110000,2,3,3,4,4,4
17312,1666666,2874887,60.218,1.0E-4,2.0702980591497228E-4,173120000,2,3,3,1,1,1
17313,2000000,2874815,60.223,4.0E-4,2.070409518858661E-4,173130000,2,3,3,4,4,4
17314,1666666,2874694,60.229,4.0E-4,2.070520965692503E-4,173140000,2,3,3,3,3,4
17315,2000000,2874622,60.234,2.0E-4,2.070516892867456E-4,173150000,2,3,3,2,2,2
17316,2000000,2874549,60.239,0.0,2.0703973203973204E-4,173160000,2,3,3,0,0,0
17317,2000000,2874429,60.245,3.0E-4,2.0704510019056417E-4,173170000,2,3,3,2,3,3
17318,2000000,2874356,60.25,2.0E-4,2.0704469338260768E-4,173180000,2,3,3,2,2,2
17319,1666666,2874236,60.256,5.0E-4,2.0706160863791213E-4,173190000,2,3,3,4,4,5
17320,2000000,2874164,60.261,3.0E-4,2.0706697459584297E-4,173200000,2,3,3,3,3,3
17321,1666666,2874043,60.267,4.0E-4,2.0707811327290573E-4,173210000,2,3,3,3,4,4
17322,1666666,2873923,60.273,4.0E-4,2.0708925066389563E-4,173220000,2,3,3,3,3,4
